Peg	Annotations
SdhA	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1) @ Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
SdhB	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1) @ Fumarate reductase iron-sulfur subunit (EC 1.3.5.4)
SdhC	Succinate dehydrogenase cytochrome b-556 subunit
SdhC1	Succinate dehydrogenase cytochrome b558 subunit
pSdhC	Succinate dehydrogenase cytochrome b558 subunit
SdhC2	putative succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)
SdhD	Succinate dehydrogenase hydrophobic membrane anchor protein
FrdA	Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
FrdB	Fumarate reductase iron-sulfur protein (EC 1.3.5.4)
FrdC	Fumarate reductase subunit C
FrdD	Fumarate reductase subunit D
FrdC1	Fumarate reductase cytochrome b subunit
NadB	L-aspartate oxidase (EC 1.4.3.16)
TfrA	"Fumarate reductase (CoM/CoB), subunit TfrA (EC 1.3.4.1)"
TfrB	"Fumarate reductase (CoM/CoB), subunit TfrB (EC 1.3.4.1)"
MfrA	8-methylmenaquinol:fumarate reductase flavoprotein subunit (EC 1.3.5.-)
MfrB	8-methylmenaquinol:fumarate reductase iron-sulfur subunit (EC 1.3.5.-)
MfrC	8-methylmenaquinol:fumarate reductase membrane anchor subunit (EC 1.3.5.-)
FrdA3	"FMN-binding domain / Fumarate reductase flavoprotein subunit (EC 1.3.5.4), cytoplasmic"
HdrB	CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)
HdrC	CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)
HdrA	CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)
HdrD	CoB--CoM heterodisulfide reductase subunit D (EC 1.8.98.1)
pFccA	"Fumarate reductase tetraheme cytochrome-c, FccA, periplasmic"
Ifc3	"Fumarate reductase tetraheme cytochrome-c, FccA, periplasmic @ Periplasmic tetrahaem Fe(3+)-induced flavocytochrome c(3)"
NfrdA	NADH-dependent fumarate reductase flavoprotein subunit (EC 1.3.1.6)
NfrdB	NADH-dependent fumarate reductase iron-sulfur subunit (EC 1.3.1.6)
NfrdC	NADH-dependent fumarate reductase subunit C (EC 1.3.1.6)
NfrdD	NADH-dependent fumarate reductase NAD-binding subunit (EC 1.3.1.6)
NfrdE	NADH-dependent fumarate reductase iron-sulfur subunit E (EC 1.3.1.6)
NfrdF	NADH-dependent fumarate reductase cytochrome b subunit (EC 1.3.1.6)
	
DsrA	"Dissimilatory sulfite reductase, alpha subunit (EC 1.8.99.5)"
DsrB	"Dissimilatory sulfite reductase, beta subunit (EC 1.8.99.5)"
DsrD	Dissimilatory sulfite reductase clustered protein DsrD
Fsr	Sulfite reductase (coenzyme F420) (EC 1.8.98.3)
AsrA	Anaerobic sulfite reductase subunit A
AsrB	Anaerobic sulfite reductase subunit B
AsrC	Anaerobic sulfite reductase subunit C
	
CysJ	Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)
CysI	Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)
	
